,Unnamed: 0,Unnamed: 1,municipality,commune,pic_1,pic_2_1,pic_2_2,pic_2_3,pic_2_4,pic_2_5,pic_1.1,gpsLatitude,gpsLongitude,address,total_income_2_b,total_deprivations,Wealth_Index,total_deprivations_2,Poor_MPI,Severely_Poor_MPI,pic_1rgb,pic_2_1rgb,pic_2_2rgb,pic_2_3rgb,pic_2_4rgb,pic_2_5rgb,red_pic_1,green_pic_1,blue_pic_1,red_pic_2_1,green_pic_2_1,blue_pic_2_1,red_pic_2_2,green_pic_2_2,blue_pic_2_2,red_pic_2_3,green_pic_2_3,blue_pic_2_3,red_pic_2_4,green_pic_2_4,blue_pic_2_4,red_pic_2_5,green_pic_2_5,blue_pic_2_5
0,uuid:00067e52-4e8c-4035-b16e-c977266597d7,Jan 29,Cazenga,Hoji Ya Henda,1548773782221.jpg,1548773793789.jpg,1548773803967.jpg,1548773819169.jpg,1548773827662.jpg,1548773841325.jpg,1548773782221.jpg,-8.7999344,13.301823,Rua fazer Casa 3774,154000.0,0.33399999,-0.012890583999999998,3,Poor,Non_Severely_Poor,"{'r': array([    19,   1002,   2755,  11336,  26929,  41839, 114606, 107142,
         1547,     25]), 'g': array([   78,  4007, 12961, 31301, 37796, 52494, 73932, 91230,  3401,
           0]), 'b': array([  136,  7768, 28327, 44902, 61100, 54573, 51129, 59179,    86,
           0])}","{'r': array([31325, 35099, 48499, 56676, 26817, 14340, 11467, 35798, 43740,
        3439]), 'g': array([29006, 34191, 48318, 53756, 28018, 14677, 11840, 10867, 11409,
       65118]), 'b': array([32820, 39800, 53215, 46647, 25382, 16497, 13546, 12521, 58757,
        8015])}","{'r': array([20245, 33257, 59157, 47896, 21006, 14648, 22449, 45511, 40353,
        2678]), 'g': array([22099, 39091, 56898, 42533, 17003, 13815, 18431, 28428, 48349,
       20553]), 'b': array([25084, 43812, 60920, 35832, 17160, 20221, 34040, 25709, 34318,
       10104])}","{'r': array([23727, 50334, 38888, 16901, 11489, 28901, 49133, 72748, 13197,
        1882]), 'g': array([44135, 51315, 30147, 17646, 14853, 17980, 63870, 63719,  3285,
         250]), 'b': array([83530, 44796, 23198, 22658, 41643, 25434,  4979, 40480, 20192,
         290])}","{'r': array([ 34245,  53378, 121619,   6457,   1844,   2031,   9083,  66475,
        11953,    115]), 'g': array([ 34454,  63617, 109548,   7345,   2206,   2306,   7039,  63326,
        17181,    178]), 'b': array([ 33781,  55459, 116197,   9081,   3298,   5275,  35026,  42797,
         4490,   1796])}","{'r': array([ 1754, 12389, 36296, 39163, 34993, 64525, 66985, 18358, 30469,
        2268]), 'g': array([ 1295, 18829, 38353, 33028, 37848, 50459, 62886, 28925,  4222,
       31355]), 'b': array([  961, 21964, 43621, 33292, 41147, 52006, 53263, 24569, 34157,
        2220])}",307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200
1,uuid:001e9a75-3867-4f2f-8cfa-ac55d5f21e1e,Jan 29,Cazenga,Hoji Ya Henda,1548779218481.jpg,1548779234464.jpg,1548779251774.jpg,1548779271753.jpg,1548779283846.jpg,1548779298188.jpg,1548779218481.jpg,-8.803755800000003,13.292778,Bairro Ilha da Madeira casa nÂ°108,8000.0,0.38999999,1.1536205,4,Poor,Non_Severely_Poor,"{'r': array([26655, 17409, 11916, 29694, 27080, 68810, 13233, 10211, 35972,
       66220]), 'g': array([42590,  8938, 29048, 35384, 24146, 48825, 17557, 93040,  7466,
         206]), 'b': array([58917, 46324, 34551, 10290, 11924, 56986, 87956,   239,    13,
           0])}","{'r': array([  2538,  11367,  13045,  19403,  20774,  31636, 104139,  86291,
        14676,   3331]), 'g': array([ 5764, 11928, 14607, 29312, 33357, 54755, 67740, 81682,  7061,
         994]), 'b': array([14630, 19764, 39058, 66314, 32746, 51383, 35686, 47224,   348,
          47])}","{'r': array([ 2614,  7196, 12777, 32617, 56382, 65734, 52919, 13394, 62680,
         887]), 'g': array([ 5986,  9530, 19736, 46762, 71487, 58519, 20076,  8593, 15845,
       50666]), 'b': array([ 12174,  18035,  50878, 109703,  34310,   8650,   3511,   7197,
        62383,    359])}","{'r': array([  5317,   5584,  41057, 107384,  42720,  10766,   2960,   3138,
        84728,   3546]), 'g': array([  6299,   5455,  40715, 113488,  40177,   6865,   2543,   2021,
         6118,  83519]), 'b': array([  6905,  13985, 108639,  73150,   9452,   2387,   2264,   2415,
        85296,   2707])}","{'r': array([ 3768, 12603, 20673, 35894, 56143, 45293, 53832, 11945, 66442,
         607]), 'g': array([ 2908, 11052, 28633, 37254, 54782, 62186, 31545,   853, 18783,
       59204]), 'b': array([ 3768, 19673, 30293, 73033, 84582, 13386,  4148,   679, 75694,
        1944])}","{'r': array([ 9850, 14381, 17148, 34173, 33037, 53982, 38844, 72633, 19205,
       13947]), 'g': array([17985, 16789, 25477, 42126, 55949, 23611, 12612, 90564, 20451,
        1636]), 'b': array([28971, 27325, 74407, 44383, 11414, 12011, 50618, 57388,   683,
           0])}",307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200
2,uuid:0048aeab-1661-4c12-9e82-d75c54c6c6d3,Feb 9,Viana,Viana Sede,1549704140807.jpg,1549704150739.jpg,1549704163506.jpg,1549704174059.jpg,1549704182681.jpg,1549704197699.jpg,1549704140807.jpg,-8.9120016,13.417372,Rua Sao Paulo Qualterao 8 Bairro Viana Capalanca,339000.0,0.22299999,-0.3751753,2,Non_Poor,Non_Severely_Poor,"{'r': array([  209,  1251,  2250,  4895, 13388, 40387, 75004, 44241, 16529,
       32246]), 'g': array([  334,  7544, 35137, 26987, 19200, 44169, 36416, 15310, 20203,
       25100]), 'b': array([  874, 21524, 38268, 18431, 35914, 34906, 26342, 23495, 11803,
       18843])}","{'r': array([  208,  2495,  8134, 48293, 82098, 37327,  6696,  8550, 18811,
       17788]), 'g': array([   93,  2801, 14083, 59325, 71140, 29327, 10090, 14935, 10495,
       18111]), 'b': array([  208,  4934, 35021, 63150, 51241, 26556, 22801,  7636,   631,
       18222])}","{'r': array([ 4784, 27831, 35643, 26908, 11873,  8555, 16052, 57567, 32863,
        8324]), 'g': array([ 7318, 45855, 32523, 18879, 10766, 26273, 32334, 14244, 33528,
        8680]), 'b': array([32202, 57734, 23594, 32101, 25963,  1503,  1342, 14505, 35482,
        5974])}","{'r': array([ 1926,  5137,  7744, 13770, 29673, 63480, 45300, 18925, 44225,
         220]), 'g': array([ 3645,  8813, 14478, 16210, 44991, 71805, 18113, 44532,  7588,
         225]), 'b': array([ 7085, 17313, 20118, 53135, 69997, 44194, 11694,   272,  6117,
         475])}","{'r': array([ 1637,  5538,  4613,  8775, 19628, 32493, 83434, 44634, 29370,
         278]), 'g': array([  2181,  19621,  12866,   9426,  22765,  16758, 130992,  14757,
         1019,     15]), 'b': array([16824, 30183, 20088, 26440, 41095, 10635, 21005, 63906,   212,
          12])}","{'r': array([ 1803,  8160,  6250, 15989, 27884, 28911, 86437, 39160, 15676,
         130]), 'g': array([  1614,  14571,   8339,  30073,  11548,  20665, 130204,  13132,
          237,     17]), 'b': array([14651, 16801, 27436, 19407, 47966, 29153, 60087, 14871,    28,
           0])}",230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400
3,uuid:006c58c6-cefd-4552-bd9a-7200d11b5bfb,Feb 8,Viana,Viana Sede,1549638155112.jpg,1549638165019.jpg,1549638176305.jpg,1549638185914.jpg,1549638195758.jpg,1549638203739.jpg,1549638155112.jpg,-8.8999844,13.318584,Bairro k12 A casa nÂ°,22000.0,0.22299999,-2.9410605,2,Non_Poor,Non_Severely_Poor,"{'r': array([13924, 32835, 23378, 37565, 50678, 50594, 18083, 10435, 63921,
        5787]), 'g': array([ 3617, 35144, 31280, 48720, 52077, 43165, 10163,  9307,  9325,
       64402]), 'b': array([ 8777, 33494, 50019, 72651, 42459, 12485, 10727,  9896, 63666,
        3026])}","{'r': array([   641,   5845,   8789,  34053,  60029, 107000,  73688,  17125,
           25,      5]), 'g': array([   21,  1832, 10158, 41851, 73684, 93019, 55245, 28385,  3002,
           3]), 'b': array([    53,   4027,  18469,  75273, 105819,  49124,  28265,  24825,
         1342,      3])}","{'r': array([    1,  2978, 42452, 30641, 56333, 93083, 60164, 17811,  3683,
          54]), 'g': array([    0,    99,  7226, 40038, 68167, 85317, 77531, 15294, 13353,
         175]), 'b': array([     0,    340,   9668,  45995,  58427, 104440,  66477,  14235,
         7612,      6])}","{'r': array([  1770,   8255,  11612,  14665,  45776, 165695,  58620,    695,
           96,     16]), 'g': array([  1833,  11777,   8954,  13822,  44873, 119681, 105254,    796,
          186,     24]), 'b': array([  1245,  12452,   9766,  22143,  59658, 149071,  52376,    424,
           55,     10])}","{'r': array([ 26367,  16911,  30940, 106957,  38196,  15095,   4338,  35996,
        23985,   8415]), 'g': array([ 32209,  15580,  47030, 109519,  24406,   7899,   2762,   5847,
        59600,   2348]), 'b': array([ 36491,  32923, 100261,  54683,  11084,   3546,   7552,  21392,
        12416,  26852])}","{'r': array([ 8796, 32892, 40722, 15205, 31299, 29631, 87874, 58346,  2381,
          54]), 'g': array([14511, 45739, 31230,  9835, 12991, 81889, 68298, 42031,   675,
           1]), 'b': array([41971, 48434, 13600, 32134, 65969, 66320, 38668,   104,     0,
           0])}",307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200
4,uuid:00ae6e8f-93b1-475f-a0ba-69eb6bd6b942,Jan 31,Maianga,Cassequel,1548948507643.jpg,1548948520502.jpg,1548948534497.jpg,1548948545460.jpg,1548948558899.jpg,1548948571618.jpg,1548948507643.jpg,-8.8436136,13.253907,Cassequel do LourenÃ§o  casa nÂ°,11000.0,0.38999999,-1.4002867,4,Poor,Non_Severely_Poor,"{'r': array([   31,  2338, 21517, 52325, 66326, 49588, 78275, 21622, 14672,
         506]), 'g': array([   96,  4429, 29960, 70193, 52037, 45337, 56538, 31014,  4399,
       13197]), 'b': array([  875, 12375, 59272, 67493, 43576, 36828, 55512, 16613, 14104,
         552])}","{'r': array([  125,  5893, 35141, 52780, 58839, 74369, 55751, 11245, 12357,
         700]), 'g': array([  147,  4994, 39676, 62426, 50761, 57998, 63278, 14451,   589,
       12880]), 'b': array([  526, 11235, 57762, 58973, 47309, 61175, 46594, 10399, 12380,
         847])}","{'r': array([ 29016,  22479,  26471,  21548,  37488,  64614, 105026,    554,
            4,      0]), 'g': array([29622, 27765, 29022, 28703, 44776, 49045, 95229,  2713,   323,
           2]), 'b': array([40799, 32033, 28493, 35029, 36888, 52451, 81119,    87,   301,
           0])}","{'r': array([ 59110,  30141,  14317,   9222,  12699,  19319, 153917,   8473,
            2,      0]), 'g': array([ 62360,  28101,  13965,   8299,  12881,  17582, 149159,  14849,
            4,      0]), 'b': array([ 86187,  19559,  16043,   5336,   2016,  31790, 146044,    224,
            1,      0])}","{'r': array([ 44939,  18664,  10944,  14385,  42980, 123092,  49710,   2284,
          202,      0]), 'g': array([46671, 18574, 10743, 21463, 45234, 96726, 65038,   178,  2426,
         147]), 'b': array([ 56765,  18519,  11238,  26163,  49296, 131377,  11093,    244,
         2474,     31])}","{'r': array([ 1967,  9317, 34786, 65730, 56039, 41026, 57688, 26549, 14085,
          13]), 'g': array([ 2219, 11528, 41977, 72902, 52287, 30180, 45905, 14458, 17782,
       17962]), 'b': array([ 6911, 27816, 73697, 55586, 30941, 24683, 44843,  7145, 31828,
        3750])}",307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200
5,uuid:00afc177-97e3-4741-ae0c-aff5963bd3ae,Feb 21,Cacuaco,Kikolo,1550755932915.jpg,1550756351923.jpg,1550756368415.jpg,1550756386300.jpg,1550756402292.jpg,1550756414352.jpg,1550755932915.jpg,-8.8093281,13.321351000000002,"Mabor, casa n Ende 177",60000.0,0.38999999,-0.66309017,4,Poor,Non_Severely_Poor,"{'r': array([15527, 28557, 16356, 14490, 19532, 70403, 41055, 81515,  8561,
       11204]), 'g': array([15752, 34091, 22102, 31208, 35480, 38883, 29790, 82691,  6334,
       10869]), 'b': array([16312, 28891, 28578, 31304, 35811, 38456, 40549, 70393,  5916,
       10990])}","{'r': array([  3447,  33055,  24277,  29520,  21845,   5937,  29125, 126974,
        18922,  14098]), 'g': array([  9800,  43612,  25631,  25652,  11784,  47997, 108135,   1879,
        16546,  16164]), 'b': array([ 29565,  49058,  22122,  36685, 127530,   6928,   1323,   1778,
        17574,  14637])}","{'r': array([   109,   9921,  19232,  55151,  41213,  10979,   3075,  38049,
       112843,  16628]), 'g': array([  807, 30996, 43214, 37257, 20495,  5462, 42806, 80263, 22232,
       23668]), 'b': array([ 12705,  66256,  25324,  20549,  29769, 102550,   2009,   1593,
        11584,  34861])}","{'r': array([    0,     5,   785, 11348, 53231, 57235, 26700, 13307, 87253,
       57336]), 'g': array([   11,  2665, 32677, 62319, 29060, 21433, 14741, 94819, 36143,
       13332]), 'b': array([ 4649, 62453, 41024, 28196, 22772, 95069,  6643,  1146,  9369,
       35879])}","{'r': array([    1,   224,  1902, 17233, 89551, 39463,  9412, 56702, 92670,
          42]), 'g': array([    2,   658,  8814, 47714, 73545, 22931,  8220, 88315, 56962,
          39]), 'b': array([  518, 10827, 27270, 73180, 35596, 35299, 65234,  1006, 29417,
       28853])}","{'r': array([     2,    865,  11460,  29603,  24857,  25690,  84239, 127510,
         2840,    134]), 'g': array([    17,   6427,  23459,  30245,  28042,  69445, 115796,  33533,
          186,     50]), 'b': array([ 2063, 37430, 35204, 64521, 89064, 10650,  7383, 60165,   709,
          11])}",307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200
6,uuid:0123910d-1255-4616-8c3d-b74752560c64,Jan 31,Maianga,Cassequel,1548929140803.jpg,1548929155039.jpg,1548929168578.jpg,1548929183793.jpg,1548929196696.jpg,1548929209421.jpg,1548929140803.jpg,-8.8437958,13.249642,Bairro cassequel do buraco,100000.0,0.0,0.43435112,1,Non_Poor,Non_Severely_Poor,"{'r': array([   113,   5641,  21287, 115652,  44577,  46637,  72485,    806,
            2,      0]), 'g': array([  126, 11289, 83521, 76156, 14726, 31650, 86449,  3269,    14,
           0]), 'b': array([  2116,  24273, 122749,  26189,  16256,  45783,  68700,   1132,
            2,      0])}","{'r': array([  633,  4898, 18106, 23593, 49218, 93217, 62303, 44559,  9574,
        1099]), 'g': array([  943,  7317, 21235, 53052, 86221, 47196, 33337, 45939,  9860,
        2100]), 'b': array([ 4186, 11434, 56066, 97074, 71024, 30466, 25836,  7804,  2221,
        1089])}","{'r': array([  7373,  10637,   8891,  16385,  29798, 114008, 100789,  17686,
         1522,    111]), 'g': array([  4875,  11589,  12386,  21062,  47703, 101344,  82290,  23757,
         1789,    405]), 'b': array([  3213,  12162,  19905,  44215, 101762,  87801,  21001,  14841,
         1834,    466])}","{'r': array([ 24288,   9352,   3584,  10765,  17511,  76737, 152906,  11375,
          618,     64]), 'g': array([ 24860,   9193,   6839,  10991,  48276, 101110,  92791,  11815,
         1220,    105]), 'b': array([ 24152,  10982,  13608,  29634, 116928,  96585,   6988,   7250,
          880,    193])}","{'r': array([   609,  26343,  17081,   7562,  18303,  37526, 116655,  63688,
        17163,   2270]), 'g': array([  357, 24828, 24676, 31064, 74793, 60183, 40231, 31257, 15477,
        4334]), 'b': array([  540, 24953, 27285, 42843, 93776, 62749, 29242, 12228, 11638,
        1946])}","{'r': array([    2,  3245,  4636, 10460, 42155, 83190, 59327, 42859, 57773,
        3553]), 'g': array([  100,  5237, 26028, 48841, 57027, 46671, 37361, 39314, 10742,
       35879]), 'b': array([ 1031, 14755, 77182, 35167, 42005, 38293, 42347, 17053, 37133,
        2234])}",307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200
7,uuid:01282f4f-0cb3-4c7f-864b-a94fbf4c748d,Jan 27,Cacuaco,Cacuaco,1548592766051.jpg,1548592785136.jpg,1548592795505.jpg,1548592808488.jpg,1548592820131.jpg,1548592829444.jpg,1548592766051.jpg,-8.765131,13.397714,Bairro Nazare,306571.44,0.55699998,-0.91677368,5,Poor,Poor,"{'r': array([ 1567, 14794, 15191, 26616, 32214, 47732, 15597, 61659, 10461,
        4569]), 'g': array([ 8242, 15640, 18933, 21389, 26491, 48734, 15208, 60060,  9354,
        6349]), 'b': array([ 3254, 13860, 13065, 31443, 29955, 49022, 20916, 58462,  3950,
        6473])}","{'r': array([10314, 40116, 24816, 27200, 24924, 28567, 26075, 20728, 22134,
        5526]), 'g': array([ 4008, 32356, 25475, 31918, 30204, 32655, 25100, 22353, 22177,
        4154]), 'b': array([12752, 43023, 26237, 26995, 24344, 27993, 22856, 23516, 20350,
        2334])}","{'r': array([ 1288, 19015, 18905, 27312, 34127, 35410, 27229, 58435,  8262,
         417]), 'g': array([  803, 18170, 19299, 34876, 44532, 39374, 19270, 47905,  5833,
         338]), 'b': array([  483, 15596, 20248, 32622, 44918, 44078, 23158, 46900,  2015,
         382])}","{'r': array([ 2229,  9200, 13762, 32358, 45060, 44264, 48356, 19744, 10592,
        4835]), 'g': array([ 2822, 15106, 18668, 34127, 41321, 40555, 47897, 14658,   678,
       14568]), 'b': array([ 2808, 13458, 19484, 35772, 42761, 51015, 46098,  3613,   410,
       14981])}","{'r': array([28256, 27711, 18121, 30410, 31223, 32033, 27446, 20882,  9374,
        4944]), 'g': array([24297, 31495, 17971, 31409, 30863, 32182, 29552, 18527,  4479,
        9625]), 'b': array([26364, 35735, 17567, 29443, 32058, 37557, 27477, 10679,  2823,
       10697])}","{'r': array([15427, 20776, 24215, 23176, 17156, 22082, 43900, 40366, 22857,
         445]), 'g': array([13293, 25977, 26890, 21523, 19380, 24206, 53974, 21995, 22212,
         950]), 'b': array([16423, 34101, 22338, 22092, 22325, 45184, 41336, 12907,  9462,
        4232])}",230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400
8,uuid:018e1b8c-7394-40d9-b74b-f4e408040b37,Feb 18,Cacuaco,Funda,1550510743904.jpg,1550510806628.jpg,1550510813584.jpg,1550510822910.jpg,1550510847576.jpg,1550510865818.jpg,1550510743904.jpg,-8.859417,13.397641,Cacuaco-Funda,55000.0,0.27899998,-1.520102,2,Non_Poor,Non_Severely_Poor,"{'r': array([   693,   2760,   2075,   7831, 101082,  59909,    976,   6398,
        19577,  29099]), 'g': array([  280, 34646,  9867,  9685, 80439, 39011,   886,   394,   348,
       54844]), 'b': array([   21, 13903, 23292, 18399, 86619, 28610,  3528,   581,   397,
       55050])}","{'r': array([ 2708, 16776, 45355, 86027, 19102,  5264,  6570,  7072, 10372,
       31154]), 'g': array([10121, 31374, 37162, 82189, 12967,  5123,  2860, 10473,  7674,
       30457]), 'b': array([ 8854, 41799, 48254, 65100, 10882,  4034,  2318, 10799, 13888,
       24472])}","{'r': array([ 2036, 20957, 46815, 25960,  8376, 27491, 37625, 47353, 13658,
         129]), 'g': array([ 4163, 49433, 36252,  9492, 10253, 28927, 26574, 58672,  6610,
          24]), 'b': array([ 7722, 75946, 11595,  7679, 13990, 25400, 35475, 50454,  2126,
          13])}","{'r': array([ 1667, 17502, 26343, 56670, 41710,  8893, 11032, 29534, 36700,
         349]), 'g': array([ 1068, 18870, 39444, 66540, 20469,  6226,  9114, 17454, 49596,
        1619]), 'b': array([ 2439, 28124, 50892, 47638, 15985,  7350,  4796, 22851, 39715,
       10610])}","{'r': array([ 4521, 32110, 27111, 55260, 39005,  5356,  2872, 15863, 20163,
       28139]), 'g': array([ 2276, 24903, 31136, 66556, 35074,  2203,  2337,  8921, 24240,
       32754]), 'b': array([ 2368, 26000, 35041, 66392, 27811,  4194,  1327,  9549, 23943,
       33775])}","{'r': array([13544, 58756, 58710, 31008,  2074,  1654,  3228, 11947, 14984,
       34495]), 'g': array([20831, 91359, 47360,  4724,   823,  1650,  4390, 14409, 18319,
       26535]), 'b': array([ 31153, 112461,  17382,   3476,    844,   3140,   9879,  17333,
        17852,  16880])}",230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400
9,uuid:01fd5ee2-c53b-40bd-a500-985def3b469e,Feb 11,Viana,Viana Sede,1549879160101.jpg,1549879172032.jpg,1549879181027.jpg,1549879190017.jpg,1549879197625.jpg,1549879206611.jpg,1549879160101.jpg,-8.8944864,13.277656,Travessa 22,55000.0,0.16699999999999998,0.53944194,1,Non_Poor,Non_Severely_Poor,"{'r': array([ 2549,  5491,  4211,  9996, 35345, 30164, 53655, 65971, 21913,
        1105]), 'g': array([ 2826, 40636,  8002,  7603, 14432, 18092, 54434, 70059,  8244,
        6072]), 'b': array([ 5322, 41499,  9462, 11684, 16016, 30188, 74929, 27934,  3349,
       10017])}","{'r': array([ 7476,  8195,  8540, 19870, 28879, 35381, 35634, 27020, 43176,
       16229]), 'g': array([ 8347, 10911, 15182, 28476, 34408, 32833, 28997, 40345, 29295,
        1606]), 'b': array([14066, 23055, 32159, 34445, 25856, 39180, 47849,  7972,  4829,
         989])}","{'r': array([  614,  5262,  5954, 24479, 26845, 33955, 83409, 49335,   524,
          23]), 'g': array([ 1728, 10332, 23238, 17837, 27704, 63898, 80440,  4977,   245,
           1]), 'b': array([ 5600, 30010, 20008, 39189, 89581, 35425,  7533,  3007,    47,
           0])}","{'r': array([  390,  4006,  7852, 19980, 23962, 32118, 64585, 62189, 15181,
         137]), 'g': array([  719,  9868, 14995, 25343, 24692, 55713, 67361, 30755,   893,
          61]), 'b': array([ 6201, 23909, 32333, 41579, 74458, 32559, 10872,  7919,   563,
           7])}","{'r': array([12774, 19249, 14908, 26563, 18727, 29971, 29241, 65070,  5709,
        8188]), 'g': array([14894, 21236, 20543, 28382, 25685, 27499, 68961,  9364,  5295,
        8541]), 'b': array([22600, 30168, 36627, 33693, 52301, 29329,  6889,  5731,  5404,
        7658])}","{'r': array([14312, 15431, 11305, 16174, 13500, 30717, 58501, 63002,  6514,
         944]), 'g': array([14932, 18629, 17299, 17416, 12745, 46931, 88661,  6279,  5777,
        1731]), 'b': array([19398, 24196, 19327, 17294, 51455, 79179,  8911,  3363,  5150,
        2127])}",230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400
10,uuid:020d2f1c-2130-440b-b318-57eb2b018824,Jan 25,Cacuaco,Kikolo,1548429625456.jpg,1548429748008.jpg,1548429763235.jpg,1548429823915.jpg,1548429839099.jpg,1548429856724.jpg,1548429625456.jpg,-8.7784204,13.311053,Bairro Novo,60000.0,0.16699999999999998,-0.9719196,1,Non_Poor,Non_Severely_Poor,"{'r': array([ 1746, 15464, 25348, 14652,  6888,  8081, 56980, 87320, 13465,
         456]), 'g': array([ 6865, 28222, 20511,  8931, 10675, 46000, 66478, 40913,  1648,
         157]), 'b': array([37862, 24719, 63068, 66056,  6892,  2800,  3208, 25170,   609,
          16])}","{'r': array([10538, 26086, 33759, 44683, 24349,  7892,  7201, 57956, 17563,
         373]), 'g': array([18771, 31870, 38519, 44952, 10735,  6893, 15399, 37854, 25260,
         147]), 'b': array([34951, 48205, 47535, 27292,  7985,  8767,  5056, 32328, 18270,
          11])}","{'r': array([    5,  3383, 15745, 51249, 38734, 59584, 54688,  1604,  5109,
         299]), 'g': array([    0,  1661, 14905, 44678, 37802, 54102, 65969,  5803,   268,
        5212]), 'b': array([    5,  3838, 20251, 58752, 30334, 67711, 43547,   602,  5072,
         288])}","{'r': array([    7, 20734, 33890, 28131, 45561, 58298,  8420,   503, 33478,
        1378]), 'g': array([   57, 30093, 30578, 27216, 48750, 49641,  7616,  1399,   439,
       34611]), 'b': array([ 1424, 35193, 30744, 35091, 56629, 28404,  6303,  1582, 33143,
        1887])}","{'r': array([10160, 23578, 49721, 42216, 21757, 12439,  4957,  7018, 55089,
        3465]), 'g': array([11732, 44277, 44345, 32410, 19318,  8767,  4604,  4486, 21848,
       38613]), 'b': array([31347, 55998, 42105, 20103, 10471,  6025,  2768,  1892, 18173,
       41518])}","{'r': array([ 7432, 20878, 32919, 21221, 14582, 17200, 64583, 37197, 10364,
        4024]), 'g': array([10262, 29941, 33188, 19838, 12678, 18601, 22200, 77093,  5799,
         800]), 'b': array([33606, 43103, 23489, 21057,  9603, 22864, 25860, 49986,   770,
          62])}",230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400
11,uuid:033565d7-311a-4236-be20-a75edb2c556e,Feb 21,Viana,Viana Sede,1550747479097.jpg,1550747488695.jpg,1550747496044.jpg,1550747503736.jpg,1550747513523.jpg,1550747520803.jpg,1550747479097.jpg,-9.0285358,13.408947,Zango 2 Viana,30000.0,0.16699999999999998,0.42073464,1,Non_Poor,Non_Severely_Poor,"{'r': array([  7883,  33463,  29069,  16480,  13873,  13505,  16049,  48783,
       112396,  15699]), 'g': array([  5876,  45707,  26094,  17368,  14470,  20617,  53540, 105146,
         2204,  16178]), 'b': array([28754, 55085, 21924, 28275, 52537, 96839,  3233,  2834,  1833,
       15886])}","{'r': array([ 9244, 20413, 24314, 29060, 22652, 32043, 81324, 38709, 11325,
       38116]), 'g': array([20322, 43936, 28882, 25881, 28486, 83792, 26854, 11530, 13481,
       24036]), 'b': array([68135, 54338, 26304, 59160, 46719, 10755,  9156, 10045,  9702,
       12886])}","{'r': array([25359,  9857,  8945, 21414, 30457, 58604, 85606, 39535,  4631,
       22792]), 'g': array([24241, 20722, 22693, 35024, 77897, 69320, 26737,  4257,  2613,
       23696]), 'b': array([43788, 55880, 56042, 71694, 39216, 11100,  2011,  1424,  2056,
       23989])}","{'r': array([  321,  7591, 19570, 68853, 31354, 65537,  5280, 24513, 79057,
        5124]), 'g': array([ 2185, 26324, 65548, 63748, 37401,  2246,  1294, 20612, 83523,
        4319]), 'b': array([ 23084, 131597,  36928,   2990,   1994,   1155,    830,   2470,
        47232,  58920])}","{'r': array([15063, 20547, 11067, 11701, 23183, 26240, 72283, 89166, 18011,
       19939]), 'g': array([ 14873,  27246,  11815,  26019,  33837, 109811,  44263,   1329,
        11654,  26353]), 'b': array([ 29718,  31415,  36181, 104727,  61437,   3550,   1024,    987,
         7058,  31103])}","{'r': array([16568, 61932, 24154, 16018, 12314, 16087, 16086, 53824, 63839,
       26378]), 'g': array([15592, 71793, 18805, 16276, 14750, 26781, 49279, 65708,  2170,
       26046]), 'b': array([67511, 48599, 15376, 19807, 49069, 75513,  2697,  1517,  1171,
       25940])}",307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200,307200
